Marlon Brando
Laurence Olivier
Robert DeNiro
James Stewart
Alec Guinness
Humphrey Bogart
Gregory Peck 
Jack Nicholson
Henry Fonda 
Spencer Tracy 
Charlie Chaplin 
Gary Cooper 
James Cagney 
Al Pacino
Cary Grant
Sidney Poitier
Paul Newman
George C. Scott
Burt Lancaster 
Anthony Hopkins
Dustin Hoffman
Peter Sellers 
Robert Mitchum 
Richard Burton 
Yul Brenner
Edward G. Robinson
Charlton Heston
Clark Gable
William Holden 
Jack Lemmon
Gene Kelly
Charles Laughton
Denzel Washington
Fredric March
Errol Flynn
Kirk Douglas
James Dean 
Orson Welles 
Gene Hackman
Robert DuVall
John Wayne
Anthony Quinn
Michael Caine
Sean Connery
Peter O'Toole 
Harrison Ford 
Robert Redford
Buster Keaton 
Richard Harris 
Sean Penn 
Toshiro Mifune
Morgan Freeman
Lee Marvin
Kenneth Branagh
Steve McQueen
Paul Winfield
Ben Kingsley 
Ralph Richardson
Montgomery Clift
Rod Steiger 
Victor Mature
Marcello Mastroianni
Tom Hanks
Christopher Walken
Clint Eastwood
Walter Matthau 
Peter Finch 
Gary Oldman 
John Malkovich
Daniel Day Lewis 
John Gielgud 
Dennis Hopper
Liam Neeson
Geoffrey Rush
Samuel L. Jackson
James Mason
Peter Lorre
Fred Astaire
Jon Voight
Mel Gibson
Johnny Depp
Gerard Depardieu
James Caan
Max von Sydow
Ralph Fiennes
John Hurt
Boris Karloff 
Richard Widmark
Kevin Spacey
Nicolas Cage
Micheal Douglas
Russel Crowe
William Hurt
Richard Dreyfuss
Ian McKellan
Robin Williams
Sydney Greenstreet
Tom Cruise 
Willem Dafoe
Gene Wilder
